Date,ReachID,true_log_chl_a,perc_5_log_chl_a,perc_25_log_chl_a,perc_50_log_chl_a,perc_75_log_chl_a,perc_95_log_chl_a,mean_log_chl_a,true_chl_a,perc_5_chl_a,perc_25_chl_a,perc_50_chl_a,perc_75_chl_a,perc_95_chl_a,mean_chl_a,lower_error,upper_error,residuals
2013-05-13,569,1.3138672203691537,1.0911011453916484,1.1200481309256523,1.1385050269519106,1.1556182998226183,1.178308877617128,1.1367371633693757,20.600000000000016,12.333920516978203,13.184028431829418,13.756407332033625,14.309297064192164,15.076789718732385,13.70052354444173,0.5723789002042068,0.5528897321585386,0.17536219341724313
2013-05-13,572,1.2576785748691846,0.9369018027303773,0.9743242522518653,1.0044641936268035,1.0328794295166903,1.0743654707378765,1.0044117256314478,18.1,8.64772365091055,9.425930912161627,10.10332198012059,10.786472225195244,11.867670251251505,10.102101451072174,0.677391067958963,0.6831502450746534,0.25321438124238105
2013-05-13,1203,-0.0457574905606751,0.1583209429657101,0.18689133404079034,0.2091992554118949,0.2307715032820741,0.265405417123812,0.20972422376140476,0.9,1.4398622412047464,1.5377698227490268,1.6188225872048718,1.7012631819512267,1.842491178108644,1.6207805776817514,0.08105276445584497,0.0824405947463549,-0.25495674597257
2013-05-13,2098,-0.1487416512809247,0.0615216388089926,0.09698968712075617,0.11601794858821315,0.13674618829374108,0.16887957275426319,0.11667378196823149,0.71,1.1521834661661594,1.2502293415666987,1.3062248708758957,1.3700808253270969,1.4752973854664886,1.3081989070756403,0.055995529309196934,0.06385595445120118,-0.2647595998691379
2013-05-16,2402,0.5078558716958309,-0.0122554388571468,0.0793761367991674,0.1445303552338677,0.23417847734700292,0.339335369425698,0.15896193810731743,3.22,0.9721752515545249,1.200538623892498,1.3948591486230366,1.7146618189199845,2.1844161031708245,1.441988968996841,0.19432052473053862,0.31980267029694787,0.3633255164619632
2013-05-20,11532,1.6812412373755872,1.319278249282062,1.3648980480227646,1.3941784741128356,1.4240771616695567,1.4640865047639366,1.393949854404461,47.99999999999999,20.858268290026842,23.16850698233238,24.784403679896872,26.55077251125033,29.112969457774668,24.77136019846134,1.6158966975644908,1.7663688313534571,0.2870627632627516
2013-05-20,11533,1.6812412373755872,1.4568402151501136,1.486434663399075,1.5070449592024655,1.5238790719899664,1.5489528612028962,1.5049617003240834,47.99999999999999,28.63124380494186,30.65029532245168,32.13993241678775,33.410199736302715,35.395891991081655,31.986130171275015,1.4896370943360715,1.2702673195149643,0.17419627817312167
2013-06-07,11840,1.7109631189952756,1.4905235676505224,1.5232892313319255,1.5477591096376548,1.5703202062435078,1.5992024483953216,1.546485488046119,51.39999999999999,30.94023212770948,33.36485419619213,35.29873238063327,37.18092638211272,39.737674532161414,35.19536617936118,1.9338781844411415,1.882194001479455,0.1632040093576208
2013-06-10,132,1.3010299956639813,1.061005320875564,1.0991429344354093,1.1264509095911146,1.1530003663983188,1.1920255794659709,1.1265046672172192,20.000000000000004,11.508144883710562,12.564434146774929,13.379839677973855,14.223299870899341,15.560572789635321,13.381495957218982,0.8154055311989268,0.8434601929254857,0.17457908607286665
2013-06-24,2696,0.9887818434536402,0.6997008924057593,0.7798514459738096,0.8046359328076194,0.8189234978040513,0.9913811022897435,0.8069025778049956,9.745,5.008421744493987,6.023535108218888,6.377286568648554,6.590577901328796,9.803498851373275,6.410657547291881,0.3537514604296659,0.21329133268024236,0.18414591064602082
2013-06-24,2697,0.9887818434536402,0.7079038930849334,0.771712435295012,0.7934736449162877,0.8067081135722671,0.9264126285909458,0.7960339212959661,9.745,5.103920406023788,5.911700659030702,6.2154652816705696,6.407787686886721,8.441364013762623,6.252215248401902,0.3037646226398678,0.19232240521615118,0.19530819853735248
2013-06-27,5506,1.0802656273398448,1.1995733503405699,1.239596265106253,1.2581747699404295,1.2746714370044308,1.3144721350222868,1.2587856558993415,12.030000000000001,15.833369624556633,17.361860607921937,18.12069163604503,18.822245645174164,20.628713061837136,18.146198442132164,0.7588310281230939,0.7015540091291328,-0.17790914260058477
2013-07-10,354,1.4393326938302626,1.2364850906175358,1.263207893746898,1.2791928599734466,1.2959420651434053,1.3195972856930727,1.279047345701729,27.5,17.23792911990515,18.331917485051406,19.019226915896834,19.767059300759453,20.873596580333377,19.012855420354185,0.6873094308454277,0.7478323848626189,0.16013983385681607
2013-07-16,1202,0.8061799739838872,0.3567072663412447,0.5472617778911133,0.563528704514417,0.5783707056620117,0.6048438111022523,0.5465517194463367,6.4,2.273564431350698,3.5258333220278195,3.6604013302996217,3.7876575414842764,4.025722279255111,3.5200734002888976,0.13456800827180215,0.1272562111846547,0.24265126946947024
2013-07-16,1205,-0.1549019599857432,-0.02565354360032474,0.0014294172774041,0.0201234597763444,0.0410096041561722,0.07542335598573197,0.02191835240527243,0.7,0.9426412843483192,1.0032967773706496,1.047426264551729,1.0990301435415202,1.1896613599519321,1.0517641230178831,0.04412948718107934,0.05160387898979124,-0.17502541976208758
2013-07-25,11858,2.1367205671564067,1.7738162182573485,1.805096902395646,1.8264520952417649,1.84724170686324,1.8759485465192398,1.8259850015749752,136.99999999999997,59.404072336398464,63.840591526585456,67.05823141864812,70.3463724127524,75.15338500057433,66.98614752506109,3.217639892062664,3.288140994104282,0.3102684719146418
2013-07-25,11859,2.1367205671564067,1.6115036424792188,1.6644527229617008,1.6980083656424114,1.7286686871542094,1.7714649181560358,1.6957134841836,136.99999999999997,40.87931806935293,46.1798718025866,49.889409736664696,53.53880669635991,59.08332367698325,49.62648141087749,3.7095379340780994,3.649396959695217,0.43871220151399526
