RMSE,MAE,NSE,R2,KGE,MSE,hyperparameter,hypervalue,mission,set_type
0.16975614030552108,0.10847057377151025,0.9121690623279903,0.9121690623279903,0.8442168317324681,0.028817147171427755,max_features,0.1,l30,train
0.3412278130253114,0.22633508455863796,0.6361809455977978,0.6361809455977978,0.6622200652620396,0.11643642038203689,max_features,0.1,l30,val
0.16822951361691435,0.10758825683398847,0.9136455097181168,0.9136455097181168,0.8442805208301024,0.02830116925178357,max_features,0.1,l30,train
0.33872247490812907,0.22698594638779437,0.6429582865706083,0.6429582865706083,0.6584251932938808,0.11473291500788813,max_features,0.1,l30,val
0.16104356183153518,0.10500208526835782,0.9194934837445872,0.9194934837445872,0.8494043836361004,0.025935028807387496,max_features,0.1,l30,train
0.37717331293581824,0.23419652233552915,0.5862394200505634,0.5862394200505634,0.6077249419672385,0.14225970799098067,max_features,0.1,l30,val
0.16854860913749975,0.10802943272928064,0.9136640755754902,0.9136640755754902,0.8432956615138126,0.028408633642185665,max_features,0.1,l30,train
0.3336387929908458,0.22124927166439462,0.6479905860583834,0.6479905860583834,0.6849648114151623,0.11131484418838845,max_features,0.1,l30,val
0.16196450439950844,0.1055175627502369,0.9193810995621923,0.9193810995621923,0.846276829567497,0.026232500685378385,max_features,0.1,l30,train
0.35275221659849443,0.23225598949451373,0.6235805820689575,0.6235805820689575,0.6741836085944165,0.12443412631515115,max_features,0.1,l30,val
0.16456496087868747,0.10643473018360981,0.9169020300701533,0.9169020300701533,0.846652062171317,0.027081626349003938,max_features,0.1,l30,train
0.35841507895018593,0.2312458156651134,0.6092944435722509,0.6092944435722509,0.6625232372994077,0.12846136881886802,max_features,0.1,l30,val
0.166268051904379,0.10651983403972452,0.9153220415840387,0.9153220415840387,0.8455856921778433,0.027645065084077262,max_features,0.1,l30,train
0.34356804880385483,0.2301224589665602,0.6385206980588483,0.6385206980588483,0.6544849757751983,0.11803900415888798,max_features,0.1,l30,val
0.16189269291454542,0.10600166561430072,0.920300797448904,0.920300797448904,0.8474623485922672,0.026209244019123303,max_features,0.1,l30,train
0.35554284545719855,0.23259047577412714,0.6012731900353221,0.6012731900353221,0.6217726120429273,0.1264107149558014,max_features,0.1,l30,val
0.1688645465686502,0.1071737661762749,0.9124023351900784,0.9124023351900784,0.8446843542823285,0.028515235087835832,max_features,0.1,l30,train
0.3440845536191916,0.22494976205740735,0.6410564160529147,0.6410564160529147,0.6835953151539654,0.11839418003931833,max_features,0.1,l30,val
0.16873875001950242,0.10750948068565053,0.9125668581259592,0.9125668581259592,0.8450038157991456,0.02847276575814413,max_features,0.1,l30,train
0.35668827665477937,0.23325902606106882,0.613969634373444,0.613969634373444,0.6498710024182508,0.12722652670295642,max_features,0.1,l30,val
0.16938047683832663,0.10789519815194461,0.9127289981531365,0.9127289981531365,0.8458309204212386,0.028689745933978907,max_features,0.1,l30,train
0.33729001697863326,0.22517392006067175,0.6410907405666186,0.6410907405666186,0.6631528624355193,0.11376455555344671,max_features,0.1,l30,val
0.16893384365855393,0.10810162974209275,0.9133908990676552,0.9133908990676552,0.8443604949245795,0.028538643533252743,max_features,0.1,l30,train
0.34382390937861546,0.2269896510838574,0.6236476212434987,0.6236476212434987,0.6516587320324483,0.11821488066039439,max_features,0.1,l30,val
0.16299423526181805,0.10544608622369438,0.9184115957930162,0.9184115957930162,0.8509426949638738,0.02656712072858489,max_features,0.1,l30,train
0.36873194871687237,0.23124864695132086,0.5877722978995679,0.5877722978995679,0.6246015724352474,0.1359632500045422,max_features,0.1,l30,val
0.16398388144599102,0.10607636943074134,0.9172648611539198,0.9172648611539198,0.8436434989083833,0.026890713374092837,max_features,0.1,l30,train
0.34620675102075915,0.2280038847474054,0.6393699984402101,0.6393699984402101,0.6568907023701207,0.11985911445234991,max_features,0.1,l30,val
0.16529142113667636,0.10651427327003153,0.9155438377738889,0.9155438377738889,0.8457683493510592,0.0273212539013821,max_features,0.1,l30,train
0.3554351873718031,0.23390633881882583,0.6267031266567957,0.6267031266567957,0.656022763458485,0.12633417242202877,max_features,0.1,l30,val
0.16391382244313188,0.10677166106188107,0.9176988842023166,0.9176988842023166,0.8467732736074625,0.026867741187918567,max_features,0.1,l30,train
0.35853082888343724,0.22767398495036265,0.6057969878891738,0.6057969878891738,0.6265192727256667,0.12854435525984456,max_features,0.1,l30,val
0.16361207061540098,0.10587082822391723,0.916287918582308,0.916287918582308,0.8479252042193679,0.026768909651058954,max_features,0.1,l30,train
0.38029783079639334,0.23746521889873104,0.5905672689518944,0.5905672689518944,0.6142579262958275,0.14462644010844222,max_features,0.1,l30,val
0.1645890906455026,0.1070059347230003,0.9176444694326109,0.9176444694326109,0.8473341021042762,0.02708956875951347,max_features,0.1,l30,train
0.34977833272267916,0.22952432633746198,0.6136555806151074,0.6136555806151074,0.6533456459554243,0.12234488204225724,max_features,0.1,l30,val
