RMSE,MAE,NSE,R2,KGE,MSE,hyperparameter,hypervalue,mission,set_type
0.3832628071873934,0.2837378315441961,0.5522971209261877,0.5522971209261877,0.520065908393986,0.1468903793731611,max_samples,0.1,l30,train
0.40652982484253086,0.30243091017085527,0.4836057222779666,0.4836057222779666,0.4941106629715597,0.16526649848649883,max_samples,0.1,l30,val
0.384105689097707,0.2837377503061265,0.5498243236001408,0.5498243236001408,0.5139857256995075,0.14753718039722435,max_samples,0.1,l30,train
0.41335169961463997,0.3171862234864462,0.4682954391872133,0.4682954391872133,0.4584590966224906,0.17085962757431153,max_samples,0.1,l30,val
0.37558553803338307,0.2825450317168368,0.5621130304035299,0.5621130304035299,0.5262204228487904,0.14106449637982582,max_samples,0.1,l30,train
0.45233638317710656,0.3230174691548302,0.40489960117964163,0.40489960117964163,0.40696712292494674,0.2046082035457462,max_samples,0.1,l30,val
0.38472193240750513,0.2856722105461494,0.5501838042278508,0.5501838042278508,0.5149973004996864,0.14801096527536495,max_samples,0.1,l30,train
0.40476541318224635,0.29868405937307324,0.4819066879047951,0.4819066879047951,0.4992411752270074,0.1638350397085946,max_samples,0.1,l30,val
0.38263961605669167,0.28336658550529237,0.550036753249425,0.550036753249425,0.5129820960469627,0.1464130757760124,max_samples,0.1,l30,train
0.42228902521068196,0.3197891245837422,0.4605488720565155,0.4605488720565155,0.44779920155284914,0.17832802081338797,max_samples,0.1,l30,val
0.3813671851524215,0.2841292278631439,0.5537252503018713,0.5537252503018713,0.517393057216374,0.14544092991108135,max_samples,0.1,l30,train
0.4187762096230203,0.3056748396618298,0.46661469591281546,0.46661469591281546,0.48438508136866576,0.17537351374622384,max_samples,0.1,l30,val
0.3814366842205331,0.2821678329324828,0.5543461334530151,0.5543461334530151,0.5205191654484999,0.1454939440691547,max_samples,0.1,l30,train
0.4255713560190688,0.31929823419013814,0.44537086912579793,0.44537086912579793,0.4422826575675749,0.181110979063909,max_samples,0.1,l30,val
0.3829239192017655,0.28372093998385833,0.5541133473999449,0.5541133473999449,0.5202186476584079,0.14663072789684023,max_samples,0.1,l30,train
0.41875976830872347,0.3122063755110762,0.44687733814378006,0.44687733814378006,0.44865274462067717,0.17535974355397577,max_samples,0.1,l30,val
0.38201546611230863,0.2839093285860642,0.5516909930805491,0.5516909930805491,0.5188200520434458,0.1459358163490044,max_samples,0.1,l30,train
0.41270324438592415,0.30979399906257676,0.48361739183984165,0.48361739183984165,0.4799037672940668,0.17032396792666785,max_samples,0.1,l30,val
0.382777802477748,0.2860681629024664,0.5500752134706811,0.5500752134706811,0.5080047591539079,0.14651884606969387,max_samples,0.1,l30,train
0.42471231402948467,0.314084120882177,0.4526898489443111,0.4526898489443111,0.4525999679142467,0.1803805496882796,max_samples,0.1,l30,val
0.38449883314894273,0.2850952743464015,0.5502892060601912,0.5502892060601912,0.5156603728712876,0.1478393526928985,max_samples,0.1,l30,train
0.40878485953136345,0.3119260495761444,0.47280984365966017,0.47280984365966017,0.47791949791249144,0.16710506138207656,max_samples,0.1,l30,val
0.3850666379259758,0.28592334374944506,0.550010904600611,0.550010904600611,0.5136566798349789,0.14827631564361451,max_samples,0.1,l30,train
0.40734942743002583,0.3011037960890809,0.4717290397145103,0.4717290397145103,0.45920580230431385,0.16593355602756987,max_samples,0.1,l30,val
0.37983171332507665,0.28497267211654054,0.5569360709049145,0.5569360709049145,0.5156319810699288,0.1442721304474632,max_samples,0.1,l30,train
0.4314805523566678,0.3097750196350975,0.43553360947252096,0.43553360947252096,0.4404902889639576,0.18617546706201518,max_samples,0.1,l30,val
0.38189235030875657,0.2828984493735491,0.5512860260342186,0.5512860260342186,0.510363821482168,0.14584176722434605,max_samples,0.1,l30,train
0.42177467681095127,0.3135882208879219,0.4647560196537701,0.4647560196537701,0.4647899535361273,0.1778938779989824,max_samples,0.1,l30,val
0.3792905157244962,0.2810487437417476,0.5552922666236899,0.5552922666236899,0.5193641349266684,0.14386129531855427,max_samples,0.1,l30,train
0.43487303657470644,0.3251563360039871,0.44119732745987617,0.44119732745987617,0.454250462261128,0.18911455793970597,max_samples,0.1,l30,val
